FIELD = 1000
WR = 60000
W1 = 0
TEMP = 287
TYPE = 15NR1
PROTONATED = 1
#DATA
1 -1 -1
2 0.05982 0.01368
3 0.02952 0.00707
4 0.02359 0.00443
5 0.01703 0.0024
6 0.0161 0.00171
7 0.01965 0.00424
8 0.0269 0.00658
9 0.03404 0.00417
10 0.05679 0.0074
11 0.06917 0.00248
12 0.08558 0.00837
13 0.03487 0.00295
14 0.04452 0.00409
15 0.02435 0.0045
16 0.0344 0.00638
17 0.05854 0.00639
18 0.05078 0.00697
19 0.05811 0.01136
20 0.07269 0.00506
21 0.03355 0.00409
22 0.04569 0.00871
23 0.02444 0.00167
24 0.03265 0.0054
25 0.9204 0.59788
26 0.01669 0.0033
27 0.01952 0.00449
28 0.01892 0.00264
29 0.0216 0.00263
30 0.00814 0.00319
31 0.01746 0.00328
32 0.02059 0.00337
33 0.01467 0.00194
34 0.01144 0.00316
35 0.02834 0.00304
36 -1 -1
37 0.03513 0.00319
38 0.04458 0.00194
39 0.04272 0.00244
40 0.12963 0.00881
41 0.27849 0.0309
42 0.04408 0.0057
43 0.01978 0.00643
44 0.01239 0.00848
45 0.01268 0.00137
46 0.0178 0.00286
47 0.0185 0.00432
48 0.03983 0.00391
49 0.04158 0.00494
50 0.02453 0.00282
51 0.01388 0.00215
52 0.0172 0.00336
53 0.00111 0.00329
54 0.01068 0.00407
55 0.01174 0.00428
56 0.0417 0.00517
