FIELD = 1000
WR = 60000
W1 = 23000
TEMP = 286
TYPE = 15NR1p
PROTONATED = 1
#DATA
1 -1 -1
2 3.44552 0.73334
3 3.20609 0.86299
4 3.5639 1.33863
5 3.16742 1.15814
6 2.41285 0.63136
7 1.93562 0.82449
8 3.02404 0.59017
9 3.40893 0.87172
10 6.35194 1.30658
11 12.13309 2.34383
12 10.98114 0.80362
13 3.59524 0.80214
14 4.7073 1.54199
15 2.5689 1.02806
16 3.17709 0.87202
17 5.87423 1.7961
18 6.16035 1.67323
19 4.11906 0.35667
20 4.95261 0.8077
21 5.09392 0.988
22 9.74828 2.38141
23 4.60225 0.9213
24 3.44591 1.20066
25 23.0656 4.92614
26 3.23739 1.09073
27 2.93552 0.75245
28 2.30056 0.77592
29 2.69319 0.48139
30 2.61631 0.69522
31 2.07712 0.66902
32 1.92259 0.60722
33 1.81499 0.74584
34 1.81351 0.68501
35 2.01713 0.57001
36 -1 -1
37 2.54668 0.68169
38 3.69915 0.97158
39 3.39205 0.89725
40 4.6759 1.03074
41 6.49226 0.31079
42 3.42001 0.62298
43 3.31618 0.69057
44 5.93078 0.82215
45 5.20181 1.00629
46 2.85774 0.87296
47 3.52537 1.09549
48 5.4094 1.155
49 4.32305 0.81228
50 3.80547 0.8516
51 2.29235 1.0464
52 2.57697 0.80686
53 6.64595 1.99666
54 9.7684 2.44446
55 2.33265 0.98254
56 2.72774 0.83793
