FIELD = 600
WR = 50000
W1 = 7766
TEMP = 273.75
TYPE = 15NR1p
DEUTERATED = 1
#DATA
1 -1 -1
2 1.83966 0.11224
3 2.53096 0.22226
4 -1 -1
5 1.48138 0.12311
6 0.93082 0.06065
7 1.36582 0.09538
8 1.7475 0.09557
9 2.06483 0.09223
10 5.24935 0.2491
11 18.91545 1.47213
12 11.12934 1.54171
13 3.23555 0.09262
14 4.53902 0.36222
15 1.72645 0.11265
16 1.38821 0.06857
17 5.55676 0.48053
18 4.71202 0.64808
19 4.94311 0.25202
20 6.61039 0.78948
21 5.09342 0.3184
22 -1 -1
23 -1 -1
24 2.93771 0.15207
25 -1 -1
26 3.50031 0.4937
27 2.1952 0.16683
28 2.14613 0.13395
29 1.87865 0.1827
30 2.75634 0.30865
31 1.79393 0.13009
32 1.65441 0.14891
33 2.2585 0.26604
34 2.21232 0.31102
35 1.63208 0.22585
36 2.028 0.307
37 3.31497 0.51858
38 1.37608 0.127
39 1.48098 0.12655
40 3.67839 0.09194
41 4.28572 0.16232
42 -1 -1
43 3.1199 0.29472
44 4.43642 0.51337
45 3.7304 0.34534
46 2.07776 0.19116
47 2.59401 0.45591
48 -1 -1
49 2.61598 0.37578
50 1.83941 0.4352
51 1.56955 0.2968
52 0.99496 0.09064
53 5.30848 0.71661
54 6.11249 0.30754
55 1.31052 0.13049
56 1.89053 0.06993
