FIELD = 700
WR = 50000
W1 = 0
TEMP = 298.95
TYPE = 15NR1
#DATA
1 -1 -1
2 0.06105 0.0042
3 0.04879 0.00606
4 0.03111 0.00823
5 0.02457 0.00382
6 0.0205 0.0017
7 0.02917 0.00474
8 0.04015 0.00314
9 0.03544 0.00427
10 0.05733 0.00598
11 0.08663 0.00955
12 0.10452 0.0177
13 0.03432 0.00404
14 0.04383 0.00737
15 0.0314 0.0073
16 0.0357 0.00755
17 0.12093 0.0161
18 0.07317 0.01175
19 0.07639 0.00559
20 0.06022 0.00531
21 0.04879 0.00654
22 0.06189 0.00766
23 0.03146 0.00462
24 0.04412 0.00515
25 -1 -1
26 0.03674 0.00846
27 0.03536 0.00472
28 0.02646 0.00678
29 0.03523 0.00746
30 0.03478 0.00445
31 0.03014 0.00479
32 0.02878 0.00577
33 0.02358 0.00489
34 0.02894 0.00414
35 0.0305 0.0051
36 0.02822 0.00509
37 0.05258 0.00833
38 0.06981 0.00808
39 0.03992 0.00807
40 0.1342 0.00489
41 0.374 0.02029
42 0.05231 0.00677
43 0.0345 0.0058
44 0.02187 0.0053
45 0.02161 0.00721
46 0.02966 0.00699
47 0.03529 0.00569
48 0.03584 0.00418
49 0.03662 0.01015
50 0.03876 0.00486
51 0.03578 0.0063
52 0.01947 0.00585
53 0.02659 0.00557
54 0.01792 0.00347
55 0.02269 0.00466
56 0.05072 0.00501
