FIELD = 700
WR = 50000
W1 = 10130
TEMP = 294.35
TYPE = 15NR1p
DEUTERATED = 1
#DATA
1 -1 -1
2 0.63685 0.04068
3 0.6521 0.08048
4 0.45607 0.04306
5 0.50515 0.08385
6 0.30819 0.06584
7 0.65799 0.08381
8 0.61373 0.04412
9 0.7047 0.03892
10 1.0131 0.05088
11 2.71946 0.15234
12 2.59555 0.14953
13 1.00895 0.08612
14 1.66005 0.13345
15 0.75793 0.058
16 0.70863 0.04781
17 4.47863 0.34305
18 2.60562 0.14639
19 1.08942 0.04208
20 1.66773 0.07498
21 1.74289 0.06981
22 2.25533 0.10173
23 0.4062 0.07879
24 0.90268 0.08307
25 -1 -1
26 1.33364 2.62768
27 0.47297 0.05382
28 0.44007 0.06312
29 0.47389 0.04737
30 0.87985 0.09249
31 0.48459 0.05981
32 0.35861 0.04331
33 0.45927 0.07294
34 1.5902 0.13286
35 0.45501 0.07567
36 0.4019 0.02926
37 1.36786 0.0848
38 0.80715 0.07119
39 0.57033 0.05801
40 1.23147 0.04127
41 1.33516 0.06704
42 1.02662 0.03755
43 0.89475 0.05925
44 2.85323 0.16123
45 2.11316 0.17581
46 0.6027 0.05298
47 0.99825 0.07085
48 1.05921 0.05287
49 1.06147 0.14294
50 0.73404 0.18186
51 0.6038 0.05992
52 0.73735 0.05897
53 2.68442 0.17485
54 4.44832 0.29803
55 0.32814 0.05193
56 0.57343 0.02213
