FIELD = 600
WR = 50000
W1 = 0
TEMP = 293
TYPE = 13CR1
#DATA
1 -1 -1
2 -1 -1
3 0.08259 0.01016
4 0.10194 0.01188
5 0.12039 0.01186
6 0.09812 0.01322
7 0.04382 0.00704
8 0.10091 0.00594
9 0.30423 0.04081
10 0.19963 0.03376
11 0.21407 0.02767
12 0.16768 0.02228
13 0.13761 0.00974
14 0.11368 0.0177
15 0.07877 0.00591
16 0.09618 0.01218
17 0.08362 0.00812
18 0.12566 0.01032
19 -1 -1
20 0.08816 0.00953
21 0.12297 0.02284
22 0.12628 0.02143
23 0.09521 0.01213
24 0.13462 0.01603
25 0.28304 0.10416
26 0.08031 0.01162
27 0.17 0.03879
28 0.0636 0.0133
29 0.10961 0.01283
30 0.1245 0.02273
31 0.10028 0.01689
32 -1 -1
33 0.0881 0.01741
34 0.18637 0.0489
35 0.10806 0.01104
36 -1 -1
37 0.27113 0.05326
38 0.18873 0.0367
39 0.1442 0.01623
40 0.13237 0.01803
41 0.26139 0.03449
42 0.10281 0.01725
43 0.0866 0.01533
44 0.12305 0.01418
45 0.08847 0.01302
46 0.07945 0.00725
47 0.18872 0.02372
48 0.12695 0.02319
49 0.16886 0.02598
50 0.09242 0.021
51 0.0965 0.02593
52 0.11153 0.01055
53 0.08322 0.01133
54 0.1077 0.01071
55 0.12353 0.01995
56 0.11819 0.01659
