FIELD = 600
WR = 50000
W1 = 7825 
TEMP = 271.05
TYPE = 13CR1p
DEUTERATED = 1
#DATA
1 -1 -1
2 -1 -1
3 4.62885 0.46112
4 4.37951 0.22172
5 5.90502 0.5212
6 2.92571 0.38998
7 4.37591 0.55806
8 6.4536 0.28166
9 8.1729 0.87797
10 10.55362 0.82444
11 10.63978 1.7247
12 23.99072 3.58646
13 6.5092 0.2808
14 12.59748 0.80384
15 6.21165 0.43923
16 5.91206 0.31317
17 6.69014 0.55619
18 8.34362 0.52917
19 -1 -1
20 9.66549 0.84563
21 -1 -1
22 12.1279 1.22289
23 5.8882 0.42693
24 6.58476 0.39749
25 25.30799 5.5554
26 -1 -1
27 4.11132 0.44782
28 -1 -1
29 4.13965 0.34876
30 4.75532 0.84796
31 4.40424 0.47675
32 4.41673 0.20499
33 4.57432 0.35593
34 4.58667 0.39061
35 3.90027 0.42684
36 4.60732 0.15113
37 7.54069 0.72312
38 6.01007 0.25988
39 5.48661 0.42752
40 5.85371 0.60866
41 9.06614 0.63912
42 4.1178 0.4759
43 7.85448 0.62386
44 10.72938 1.17274
45 9.81949 1.11914
46 6.57991 0.57552
47 7.30982 0.47961
48 5.17438 0.81092
49 6.2169 0.56145
50 6.14635 0.64418
51 4.15813 0.17836
52 4.08809 0.49502
53 5.29447 0.46242
54 12.15195 1.59809
55 6.26634 0.88774
56 5.8971 0.36398
