FIELD = 700
WR = 50000
W1 = 10000
TEMP = 305
TYPE = 13CR1p
DEUTERATED = 1
#DATA
1 -1 -1
2 2.67202 0.15161
3 2.16254 0.13766
4 2.12047 0.66193
5 4.54475 0.99017
6 0.81606 0.42002
7 1.04932 0.23324
8 2.00381 0.30837
9 1.7306 0.37148
10 2.57075 0.4277
11 3.44839 1.20604
12 3.81545 0.15544
13 2.41641 0.29158
14 3.69461 0.62501
15 2.10906 0.28467
16 1.41641 0.18588
17 5.2472 0.56765
18 4.86825 0.69812
19 3.13825 0.4014
20 3.36791 0.54183
21 3.62753 0.41674
22 5.42566 0.54652
23 2.52842 0.46102
24 2.47095 0.28741
25 2.7664 0.48834
26 2.50826 0.47008
27 2.18042 0.42308
28 3.0628 0.16589
29 -1 -1
30 1.98473 0.17224
31 1.71741 0.52988
32 2.29488 0.15618
33 2.52833 0.18754
34 2.20341 0.26798
35 1.98862 0.14638
36 2.38346 0.15109
37 3.76314 0.4954
38 2.45456 0.41035
39 1.41264 0.18926
40 1.66761 0.26033
41 3.11534 0.44339
42 2.30607 0.25466
43 2.21471 0.26877
44 17.78283 4.62571
45 5.58249 0.59875
46 3.31277 0.32598
47 3.09024 0.24508
48 1.99582 0.3353
49 2.84829 0.27784
50 0.68958 0.30104
51 2.33503 0.41728
52 2.12571 0.23165
53 2.63195 0.3009
54 4.93529 0.5893
55 1.67905 0.3759
56 1.43272 0.24171
