FIELD = 850
WR = 60000
W1 = 0
TEMP = 300.15
TYPE = 13CR1
#DATA
1 -1 -1
2 -1 -1
3 -1 -1
4 0.16578 0.02269
5 -1 -1
6 0.2385 0.06486
7 0.23332 0.0709
8 0.34061 0.07746
9 0.39318 0.03251
10 0.1415 0.00589
11 0.14922 0.0065
12 0.21933 0.0212
13 -1 -1
14 0.20139 0.01268
15 0.09198 0.01155
16 0.16677 0.01317
17 0.11758 0.01046
18 0.14715 0.00992
19 -1 -1
20 0.11631 0.00731
21 -1 -1
22 0.10159 0.00653
23 -1 -1
24 -1 -1
25 0.13568 0.01261
26 0.13189 0.01281
27 0.26284 0.06653
28 -1 -1
29 -1 -1
30 -1 -1
31 -1 -1
32 0.11738 0.01464
33 0.18449 0.02952
34 0.50189 0.05505
35 0.30607 0.07813
36 0.16807 0.03204
37 0.33118 0.03711
38 0.19759 0.02494
39 0.19192 0.05221
40 0.25192 0.01686
41 0.20744 0.01784
42 0.07507 0.01111
43 0.13968 0.03366
44 0.12433 0.02196
45 0.10649 0.01208
46 -1 -1
47 0.17852 0.01879
48 0.16931 0.01132
49 0.22705 0.01671
50 0.20125 0.05439
51 0.24236 0.06893
52 0.23367 0.02128
53 0.22898 0.03239
54 0.15203 0.02823
55 0.15486 0.03647
56 0.22034 0.00583
