FIELD = 850
WR = 50000
W1 = 9890
TEMP = 298.3
TYPE = 13CR1p
DEUTERATED = 1
#DATA
1 -1 -1
2 5.30452 0.74282
3 2.99998 0.65465
4 2.97707 0.63958
5 1.29882 1.66306
6 2.20496 0.62031
7 1.61848 0.79186
8 1.79886 0.70986
9 2.08032 0.72608
10 2.77595 0.53733
11 1.17687 0.80934
12 3.272 1.74751
13 1.85537 1.61342
14 4.3833 1.48841
15 1.48598 0.41145
16 2.23851 0.98581
17 6.69465 1.81282
18 3.55186 2.16846
19 2.55055 0.39844
20 5.08974 3.64413
21 4.36761 0.82081
22 1.14607 0.95481
23 2.69852 1.69568
24 3.74395 0.8687
25 -1 -1
26 2.38449 1.50193
27 2.12555 0.85622
28 3.58111 0.84294
29 3.16323 0.98307
30 1.52284 0.88204
31 2.69113 0.63385
32 1.83084 0.78839
33 1.89855 0.94753
34 2.06532 0.55093
35 1.25167 0.72818
36 2.3375 1.45939
37 5.34314 2.3706
38 2.56436 1.03986
39 1.52264 1.42252
40 0.90918 0.56959
41 0.95375 1.16667
42 2.29399 0.34212
43 3.67919 0.65944
44 6.16597 1.3533
45 3.57584 0.87658
46 1.01851 1.15893
47 1.34376 0.59611
48 1.99664 0.28159
49 0.31933 1.45879
50 2.37295 0.91455
51 1.02511 1.71167
52 1.27646 0.99588
53 3.60601 1.28664
54 4.1332 0.64033
55 4.16613 0.94968
56 1.48011 0.45719
