FIELD = 600
WR = 50000
W1 = 0
TEMP = 290.15
% changed with Jozef's new values, 4th Dec 2020
TYPE = 15NR1
#DATA
1 -1 -1
2 0.071903278169949 0.002446641722888
3 0.046381657433336 0.004495744244625
4 -1 -1
5 0.023331478838834 0.001848752775102
6 0.012774221769091 0.001393150975927
7 0.025423421254306 0.001378711734985
8 0.038425622941102 0.002006120850236
9 0.046841441835877 0.00176524096761
10 0.078479402258924 0.003028645125688
11 0.108655279726261 0.007570993694987
12 0.113332123859683 0.007448623555792
13 0.035686567462795 0.001749801628734
14 0.053927243176477 0.002343224184976
15 0.030854082527981 0.002045486543975
16 0.04000673176453 0.00191812213383
17 0.110781785799235 0.012017164783027
18 0.076233849501634 0.005946153948762
19 0.101657742818473 0.003074441415907
20 0.072880162134537 0.004743745500464
21 0.049993969377465 0.003577612944354
22 -1 -1
23 -1 -1
24 0.048747830734219 0.003636715310402
25 0.114734624663615 0.012495690231063
26 0.020544998841299 0.003984647025877
27 0.045796639972395 0.003572608469924
28 0.024926076374682 0.002258010337226
29 0.025034282125042 0.002358864498677
30 0.03185543629704 0.00288750762552
31 0.027338193655496 0.00393449333834
32 0.025457302753595 0.002300479213866
33 0.023231483606007 0.003271782445935
34 0.030019333856401 0.000375520517528
35 0.030522873714955 0.002945549377303
36 0.027338193655496 0.003934094255134
37 0.058583851380545 0.005776277295824
38 0.100107605365912 0.004495075725033
39 0.049601555771789 0.002519516731038
40 0.171048775980504 0.004837240129138
41 0.22777310781778 0.00735070904341
42 0.088129562802913 0.010696527337632
43 0.040334985529633 0.003199457213623
44 0.014203535679702 0.003775708368643
45 0.018494482725662 0.002447316540388
46 0.026104318090875 0.002749208427981
47 0.028589866984435 0.002448303802758
48 0.047326944015091 0.002318755579841
49 0.066213151438466 0.009552084090881
50 0.047399696275186 0.006248878594663
51 0.020900166268117 0.004591535986053
52 0.012680356346156 0.001638511712614
53 0.012441233754451 0.003062539143445
54 0.015574248680589 0.001275966969787
55 0.018775515798875 0.001898721231334
56 0.054924185846356 0.001642492487984
