1, -1.000000, -1.000000, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan
2, -1.000000, -1.000000, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan
3, 0.763000, 2850.549360, 1.041424e+01, 2.481952e+00, 2.621764e-02, 7.767011e-02, 2.909610e-01, 2.132558e-02, 2.337726e-01, 1.046074e-02, 2.371405e-05, 4.064445e-02, 9.953662e-02, 1.058810e-02, 5.235900e-01, 1.076978e-02, 2.740024e-01, 1.449824e-02
4, 0.821000, 1573.684344, 1.231466e+01, 1.508766e+00, 2.437731e-02, 1.654305e+00, 2.371520e-01, 2.386409e-01, 2.466943e-01, 2.430772e-01, 2.475107e-03, 2.491603e-01, 3.622675e-02, 4.182717e-01, 1.243796e-01, 5.043229e-01, 2.441990e-01, 4.620510e-01
5, 0.913000, 4263.968534, 9.714979e+00, 6.703488e+00, 3.814607e-02, 4.383013e+00, 3.350642e-01, 1.967067e-01, 1.662466e-01, 1.920788e-01, 3.145599e-02, 6.220802e-02, 2.238164e-07, 1.262933e-01, 1.390244e-05, 1.142709e-01, 2.071229e-01, 1.136213e-01
6, 0.805000, 2478.789509, 8.932764e+00, 2.812504e-01, 2.429744e-02, 2.582686e-02, 2.481631e-01, 7.269016e-03, 2.319412e-01, 6.327043e-03, 1.475403e-03, 1.032778e-02, 3.314206e-05, 2.059110e-02, 4.744240e-01, 3.631433e-03, 3.825272e-01, 1.061681e-02
7, 0.716000, 2647.368722, 9.723257e+00, 1.158405e+00, 2.966234e-02, 8.154261e-02, 3.955520e-01, 2.637490e-02, 1.296773e-01, 1.045616e-02, 4.111277e-03, 8.382137e-02, 1.272784e-02, 4.776500e-02, 1.077427e-01, 3.481950e-02, 2.486629e-01, 6.484043e-02
8, 0.913000, 5744.638443, 1.033188e+01, 7.298288e+00, 3.898705e-02, 4.059249e+00, 2.947978e-01, 1.732166e-01, 2.019151e-01, 1.397660e-01, 1.748864e-08, 6.006343e-02, 4.111987e-08, 8.448298e-02, 1.904586e-01, 6.026539e-02, 1.231027e-01, 9.562641e-02
9, 0.836000, 7327.881633, 1.067446e+01, 1.543381e+01, 6.055758e-02, 5.896751e+00, 2.864003e-01, 5.778431e-02, 2.047754e-01, 1.766614e-01, 2.136491e-02, 5.317483e-02, 1.693143e-04, 1.165146e-01, 8.596586e-02, 1.173721e-01, 1.078345e-09, 1.708222e-01
10, 0.656000, 3118.480705, 9.467011e+00, 2.672330e+00, 3.377531e-02, 8.764129e-02, 2.538475e-01, 4.369219e-02, 2.889576e-01, 2.126847e-02, 6.663329e-02, 7.087559e-02, 1.472109e-04, 2.500645e-02, 5.188464e-01, 3.553664e-02, 1.724741e-01, 5.808851e-02
11, 0.666000, 9071.036072, 1.349579e+01, 6.516822e+00, 9.638849e-03, 4.427855e+00, 5.219774e-01, 2.717265e-01, 1.754772e-01, 1.527570e-01, 3.657878e-01, 1.089937e-01, 7.168243e-02, 1.614281e-01, 5.235897e-01, 1.092155e-01, 5.231945e-01, 1.458133e-01
